report_id,timestamp,location,category,reported_severity,description,reporter_type
R001,2026-09-16T09:03,Library Level 2,facilities,MEDIUM,Water is pooling near the study desks on level two.,security
R002,2026-09-16T09:07,Engineering Block E3,fire,HIGH,A burning smell is coming from the E3 electrical lab.,system_sensor
R003,2026-09-16T09:11,Campus-wide,it,MEDIUM,Wi-Fi is slow in the north residence.,system_sensor
R004,2026-09-16T09:15,Sports Centre Court 1,medical,HIGH,A student collapsed during basketball practice.,staff
R005,2026-09-16T09:19,Administration Block Lift A,accessibility,MEDIUM,Lift A is not responding at the ground floor.,staff
R006,2026-09-16T09:23,Science Block loading bay,security,LOW,An unknown person is photographing a locked service entrance.,student
R007,2026-09-16T09:27,Cafeteria east entrance,environmental,LOW,Broken glass is scattered outside the cafeteria entrance.,security
R008,2026-09-16T09:31,Parking Area P2,electrical,MEDIUM,Several lights are off in parking area P2.,staff
R009,2026-09-16T09:27,Library Level 2,facilities,MEDIUM,The leak appears to come from the ceiling near the archives.,student
R010,2026-09-16T09:31,Engineering Block E3,fire,HIGH,Light smoke is visible near a wall socket in E3.,lecturer
R011,2026-09-16T09:35,Campus-wide,it,MEDIUM,Students in the library cannot reach the learning platform.,security
R012,2026-09-16T09:39,Sports Centre Court 1,medical,HIGH,The student is conscious but confused and breathing quickly.,system_sensor
R013,2026-09-16T09:43,Administration Block Lift A,accessibility,MEDIUM,A wheelchair user is waiting for access to the second floor.,security
R014,2026-09-16T09:47,Science Block loading bay,security,MEDIUM,The person has tools and is trying keys at the loading bay.,lecturer
R015,2026-09-16T09:51,Cafeteria east entrance,environmental,MEDIUM,A student nearly stepped on glass near the east door.,staff
R016,2026-09-16T09:55,Parking Area P2,electrical,MEDIUM,The payment kiosk and two light poles have lost power.,system_sensor
R017,2026-09-16T09:51,Library Level 2,facilities,HIGH,Another student reports the same wet floor beside the printers.,system_sensor
R018,2026-09-16T09:55,Engineering Block E3,fire,CRITICAL,A second lecturer confirms smoke and asks students to leave.,staff
R019,2026-09-16T09:59,Campus-wide,it,HIGH,A lecturer reports failed logins in Block B.,system_sensor
R020,2026-09-16T10:03,Sports Centre Court 1,medical,CRITICAL,A coach confirms first aid is being provided.,lecturer
R021,2026-09-16T10:07,Administration Block Lift A,accessibility,HIGH,Reception confirms there is no equivalent accessible route.,lecturer
R022,2026-09-16T10:11,Science Block loading bay,security,MEDIUM,A second report describes a reflective vest and contractor vehicle.,lecturer
R023,2026-09-16T10:15,Cafeteria east entrance,environmental,MEDIUM,A second report confirms the same debris field.,security
R024,2026-09-16T10:19,Parking Area P2,electrical,HIGH,Security confirms a large dark section near the pedestrian route.,staff
R025,2026-09-16T10:15,Library Level 2,facilities,HIGH,Water has reached a power extension; the area is becoming unsafe.,student
R026,2026-09-16T10:19,Engineering Block E3,fire,CRITICAL,Sparks were seen and the local alarm has activated.,student
R027,2026-09-16T10:23,Campus-wide,it,HIGH,Multiple buildings now show intermittent network loss.,system_sensor
R028,2026-09-16T10:27,Sports Centre Court 1,medical,CRITICAL,The student briefly lost consciousness again.,system_sensor
R029,2026-09-16T10:31,Administration Block Lift A,accessibility,HIGH,The lift stopped between floors with two occupants inside.,security
R030,2026-09-16T10:35,Science Block loading bay,security,MEDIUM,The person entered a restricted service corridor.,student
